name,value,year,lastValue,rank
UPS,16433.2,2017.1,16387,29
J.P. Morgan,15930.7999999998,2017.1,15749,30
Budweiser,15400.2,2017.1,15375,31
Hermès,14426.1999999998,2017.1,14210,32
Ford,13678.2,2017.1,13643,33
Hyundai,13227.2,2017.1,13193,34
eBay,13203.3,2017.1,13224,35
NESCAFÉ,12700.2,2017.1,12661,36
Accenture,12645.2999999998,2017.1,12471,37
Audi,12039.4,2017.1,12023,38
Nissan,11601.8999999999,2017.1,11534,39
Volkswagen,11589.8999999999,2017.1,11522,40
Philips,11577.4999999999,2017.1,11519,41
AXA,11077.5,2017.1,11073,42
Goldman Sachs,10954.4999999999,2017.1,10864,43
Kellogg's,10938.2,2017.1,10972,44
L'Oréal,10716.8,2017.1,10674,45
Citi,10696.7999999999,2017.1,10599,46
HSBC,10601.3999999999,2017.1,10534,47
Gucci,10266.2999999997,2017.1,9969,48
Porsche,10186.7999999999,2017.1,10129,49
Allianz,10135.1999999999,2017.1,10059,50
Siemens,9996.99999999999,2017.1,9982,51
Canon,9847.19999999995,2017.1,9788,52
HP,9630.19999999992,2017.1,9541,53
adidas,9371.59999999986,2017.1,9216,54
Danone,9343.09999999998,2017.1,9322,55
Adobe,9228.79999999985,2017.1,9060,56
3M,8962.69999999999,2017.1,8947,57
Hewlett Packard Enterprise,8871.60000000007,2017.1,8951,58
Starbucks,8795.09999999992,2017.1,8704,59
Nestlé,8748.99999999998,2017.1,8728,60
Sony,8558.19999999992,2017.1,8474,61
Colgate,8358.39999999997,2017.1,8325,62
Morgan Stanley,8264.69999999995,2017.1,8205,63
Visa,7935.59999999989,2017.1,7815,64
Cartier,7556.89999999999,2017.1,7547,65
LEGO,6974.90000000005,2017.1,7024,66
Banco Santander,6786.49999999992,2017.1,6702,67
Huawei,6766.19999999992,2017.1,6676,68
Kia,6707.19999999998,2017.1,6683,69
Mastercard,6469.49999999989,2017.1,6350,70
FedEx,6318.49999999994,2017.1,6255,71
Land Rover,6107.59999999999,2017.1,6095,72
Johnson & Johnson,6059.99999999998,2017.1,6041,73
Panasonic,6013.99999999997,2017.1,5983,74
Netflix,5843.89999999977,2017.1,5592,75
DHL,5731.59999999998,2017.1,5715,76
Harley-Davidson,5620.00000000005,2017.1,5671,77
PayPal,5529.29999999989,2017.1,5408,78
Discovery,5445.39999999997,2017.1,5411,79
Tiffany & Co.,5418.79999999998,2017.1,5394,80
Jack Daniel's,5362.89999999997,2017.1,5332,81
Salesforce.com,5344.79999999989,2017.1,5224,82
KFC,5329.79999999998,2017.1,5313,83
Heineken,5202.19999999998,2017.1,5181,84
MINI,5127.99999999999,2017.1,5114,85
Burberry,5120.40000000001,2017.1,5135,86
Ferrari,4964.39999999992,2017.1,4876,87
Caterpillar,4954.19999999992,2017.1,4868,88
Shell,4868.29999999996,2017.1,4823,89
Corona,4850.09999999993,2017.1,4776,90
John Deere,4842.19999999995,2017.1,4783,91
Sprite,4831.10000000001,2017.1,4842,92
Prada,4725.59999999999,2017.1,4716,93
Dior,4650.59999999994,2017.1,4587,94
Johnnie Walker,4437.59999999997,2017.1,4405,95
Chanel,NA,2017.1,NA,96
Hennessy,NA,2017.1,NA,97
Nintendo,NA,2017.1,NA,98
Spotify,NA,2017.1,NA,99
Subaru,NA,2017.1,NA,100
Apple,190219.200000001,2017.2,187186.599999997,1
Google,144463.600000001,2017.2,143083.299999999,2
Microsoft,82542.2000000006,2017.2,81270.5999999988,3
Amazon,71989.6000000016,2017.2,68392.7999999967,4
Coca-Cola,69054.5999999998,2017.2,69393.8000000003,5
Samsung,56977.2000000002,2017.2,56613.0999999997,6
Toyota,50913.6000000001,2017.2,50602.2999999997,7
Mercedes-Benz,47983.4,2017.2,47906.1999999999,8
Facebook,47583.9999999999,2017.2,47886.0000000003,9
IBM,46057.5999999998,2017.2,46443.3000000004,10
GE,41917.7999999995,2017.2,43062.900000001,11
McDonald's,41909.8000000001,2017.2,41721.3999999998,12
BMW,41418,2017.2,41469.5,13
Disney,40592.4,2017.2,40682.2000000001,14
Intel,40225.8000000002,2017.2,39842.3999999997,15
Cisco,32459.0000000001,2017.2,32194.4999999998,16
Nike,27640.8000000001,2017.2,27330.8999999997,17
Oracle,27199.3999999999,2017.2,27332.7000000001,18
Louis Vuitton,23965.6000000002,2017.2,23442.2999999995,19
Honda,22893.2,2017.2,22794.5999999999,20
SAP,22685,2017.2,22660,21
Pepsi,20552.4,2017.2,20521.7,22
H&M,19755.5999999998,2017.2,20121.8000000003,23
Zara,18400.8,2017.2,18486.9000000001,24
IKEA,18269.2,2017.2,18370.6000000001,25
American Express,18057.4000000001,2017.2,17922.1999999999,26
Gillette,17932.7999999999,2017.2,18066.4000000001,27
